Audio File,Item,Weight,Radius,Height,Moment of inertia,On:,Peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lighttape1.m4a,Tape,20g,"4.325cm, 3.75",1.7cm,3.28E-05,Wood Bench,0.033,0.26,0.485,0.697,0.928,1.161,1.4,1.622,1.847,2.072,2.286,2.495,2.718,2.913,3.108,3.306,3.488,3.664,3.835,4.017,4.18,4.342,4.491,4.635,4.792,4.917,5.053,5.186,5.311,5.422,5.547,5.641,5.761,5.861,5.956,6.05,6.127,6.212,6.28,6.348,6.404,6.451,,
lighttape2.m4a,Tape,20g,"4.325cm, 3.75",1.7cm,3.28E-05,Wood Bench,0.115,0.297,0.538,0.721,0.964,1.172,1.424,1.68,1.922,2.15,2.397,2.625,2.829,3.047,3.251,3.451,3.636,3.816,4.006,4.153,4.314,4.471,4.618,4.77,4.908,5.026,5.164,5.29,5.404,5.525,5.622,5.731,5.826,5.914,5.997,6.08,6.147,6.217,6.271,6.301,6.34,6.383,,
lighttape3.m4a,Tape,20g,"4.325cm, 3.75",1.7cm,3.28E-05,Wood Bench,0.263,0.529,0.755,0.997,1.242,1.483,1.713,1.912,2.134,2.32,2.512,2.701,2.883,3.066,3.235,3.399,3.566,3.729,3.871,3.99,4.017,4.048,,,,,,,,,,,,,,,,,,,,,,
lighttape4.m4a,Tape,20g,"4.325cm, 3.75",1.7cm,3.28E-05,Wood Bench,0.042,0.296,0.555,0.832,1.059,1.289,1.517,1.725,1.911,2.107,2.28,2.451,2.622,2.783,2.935,3.082,3.217,3.349,3.475,3.589,3.705,3.809,3.909,3.997,4.089,4.162,4.221,4.283,4.328,,,,,,,,,,,,,,,
smalltape1.m4a,Tape,34g,"2.75cm, 1.35cm",1.9cm,1.60E-05,Wood Bench,0.396,0.534,0.668,0.808,0.937,1.075,1.248,1.38,1.531,1.668,1.794,1.955,2.078,2.215,2.315,2.464,2.61,2.748,2.875,2.995,3.116,3.237,3.344,3.444,3.54,3.633,3.707,3.764,3.837,3.902,3.977,4.032,4.086,4.125,4.167,4.197,,,,,,,,
smalltape2.m4a,Tape,34g,"2.75cm, 1.35cm",1.9cm,1.60E-05,Wood Bench,0.027,0.204,0.353,0.495,0.649,0.788,0.932,1.071,1.217,1.363,1.484,1.591,1.714,1.825,1.936,2.048,2.152,2.259,2.36,2.448,2.548,2.634,2.715,2.793,2.86,2.925,2.982,3.039,3.081,3.122,3.151,,,,,,,,,,,,,
largelid1.m4a,Pot Lid,267g,11.5 cm,,0.0017655375,Wood Bench,0.257,0.47,0.679,0.886,1.069,1.234,1.374,1.513,1.653,1.816,1.932,2.046,2.158,2.27,2.321,2.398,2.446,2.48,2.525,2.554,2.632,actually incomprehensible after here,,,,,,,,,,,,,,,,,,,,,,
largelid2.m4a,Pot Lid,267g,11.5 cm,,0.0017655375,Wood Bench,0.367,0.623,0.826,1.014,1.18,1.25,1.346,1.492,1.639,1.79,1.903,2.025,2.142,2.209,2.341,2.432,2.498,2.561,2.643,actually incomprehensible after here,,,,,,,,,,,,,,,,,,,,,,,,
largelid3.m4a,Pot Lid,267g,11.5 cm,,0.0017655375,Wood Bench,0.358,0.626,0.857,1.055,1.279,1.427,1.597,1.755,1.909,2.033,2.167,2.314,2.431,2.548,2.666,2.754,2.892,2.972,3.072,3.139,3.222,actually incomprehensible after here,,,,,,,,,,,,,,,,,,,,,,
tapesmallrad1.m4a,Tape,80g,"5cm, 3.75cm",2.4cm,1.56E-04,Wood Bench,0.169,0.347,0.572,0.779,0.935,1.124,1.276,1.441,1.583,1.732,1.854,1.982,2.101,2.205,2.301,2.4,2.466,2.546,2.604,2.651,2.697,2.741,,,,,,,,,,,,,,,,,,,,,,
tapesmallrad2.m4a,Tape,80g,"5cm, 3.75cm",2.4cm,1.56E-04,Wood Bench,0.154,0.326,0.492,0.705,0.938,1.145,1.315,1.525,1.724,1.872,2.052,2.22,2.376,2.523,2.681,2.816,2.944,3.069,3.181,3.301,3.399,3.496,3.585,3.656,3.73,3.809,3.853,3.905,3.944,,,,,,,,,,,,,,,
"* I only noted down the filenames after gathering ALL the data, I think I put each audio clip to the corresponding data correctly but if something seems off, that’s probably why",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
