Audio File,Item,Weight,Radius,Height,Moment of inertia,On:,Average slope,std,num,error,second derivative of peaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapecounter.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Fake Marble Countertop,-0.00919047619,0.01199841259,22,0.00255807016,-0.026,-0.009,-0.001,-0.005,-0.011,-0.001,-0.01,-0.013,-0.015,0.005,-0.011,-0.01,0.028,-0.029,-0.021,-0.014,-0.002,-0.011,-0.016,-0.002,-0.019,,,,,,,,,,,,,,,,,,,,,
tapeglass1.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Glass stovetop,-0.002880952381,0.01405945976,43,0.002144047514,0.013,0.033,0.012,-0.035,-0.018,0.022,-0.021,0.007,-0.005,0.003,0.008,-0.01,-0.011,-0.006,-0.002,-0.004,-0.007,0.017,-0.02,0.003,-0.018,-0.008,0.002,-0.011,0.005,0.006,-0.011,-0.006,-0.014,-0.002,0.002,-0.019,0.006,-0.01,-0.008,0.008,-0.024,0.02,-0.026,0.007,-0.008,0.009
tapeglass2.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Glass stovetop,-0.004275,0.01009439423,41,0.001576479521,0,-0.023,0.007,0.016,-0.006,-0.021,0.016,-0.016,0.004,0,-0.007,-0.013,0.009,-0.011,0.006,-0.022,0.004,-0.004,-0.009,0.008,-0.021,0.008,-0.007,-0.004,-0.01,-0.005,0.005,-0.008,-0.01,0.004,-0.015,0,-0.017,0.007,-0.011,-0.003,-0.007,-0.001,-0.009,-0.005,,
tapeglass3.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Glass stovetop,-0.004891891892,0.009797345967,38,0.001589339386,-0.036,0.002,-0.008,-0.001,-0.008,0.003,-0.012,-0.002,-0.002,-0.01,0,0.009,-0.017,-0.004,-0.002,0.001,-0.016,0.005,-0.021,0.011,-0.007,0,-0.017,0.001,-0.006,0,-0.019,0.005,0.003,-0.008,-0.014,0.001,-0.011,0,-0.012,0,0.011,,,,,
tapemetal1.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Metal Table,-0.00652,0.009878933816,26,0.001937418319,0.01,-0.041,-0.007,0.005,-0.011,-0.003,-0.017,-0.008,-0.011,-0.008,-0.003,-0.007,-0.006,0,-0.012,-0.004,-0.014,-0.006,-0.008,-0.001,-0.007,-0.011,-0.004,-0.001,0.012,,,,,,,,,,,,,,,,,
tapemetal2.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Metal Table,-0.006655172414,0.01455844346,30,0.002657995961,0.006,-0.037,-0.017,0.03,-0.033,-0.01,0.003,-0.014,-0.01,-0.006,-0.007,-0.007,0.01,0,-0.037,0.014,-0.024,0.01,-0.004,-0.012,-0.008,0.002,-0.012,0.001,-0.008,-0.013,-0.005,-0.005,0,,,,,,,,,,,,,
tapemetal3.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Metal Table,-0.004909090909,0.01878557232,34,0.003221699073,0.045,-0.066,0.013,0.036,-0.042,0.005,-0.016,-0.002,-0.014,-0.007,-0.011,0.019,-0.013,-0.007,-0.01,-0.015,-0.003,-0.009,0,-0.002,0.004,-0.012,0,-0.01,-0.013,-0.006,0,-0.01,-0.002,-0.004,-0.006,-0.012,0.008,,,,,,,,,
tapewood2.m4a,Tape,100g,5.75,2.4cm,2.36E-04,Wood bench,-0.0114,0.01848474274,16,0.004621185686,0.008,0.007,0.001,-0.035,0,-0.009,-0.018,0.015,-0.004,0.012,-0.039,-0.035,-0.02,-0.027,-0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapewood3.m4a,Tape,100g,5.75,2.4cm,2.36E-04,Wood bench,-6.33E-03,0.00869128653,28,0.001642498766,-0.004,-0.016,0.012,-0.011,-0.019,0.003,-0.014,-0.005,-0.003,-0.005,-0.01,-0.001,-0.011,0.004,-0.023,-0.008,0.005,-0.009,-0.007,0,-0.015,-0.008,0.008,-0.016,-0.015,0.004,-0.007,,,,,,,,,,,,,,,
tapewood1.m4a,Tape,100g,5.75,2.4cm,2.36E-04,Wood bench,-7.85E-03,0.02403475641,28,0.00454214202,0.046,-0.09,0.001,0.011,-0.023,0.011,-0.015,-0.004,-0.004,-0.011,-0.012,-0.005,-0.003,-0.007,-0.021,0.009,-0.001,-0.015,-0.008,0.007,-0.056,0.021,-0.001,-0.007,-0.007,-0.005,-0.023,,,,,,,,,,,,,,,
tapesmallrad1.m4a,Tape With Small Rad,80g,5,2.4cm,1.56E-04,Wood Bench,-0.0067,0.02348594204,16,0.005871485511,0.047,-0.018,-0.051,0.033,-0.037,0.013,-0.023,0.007,-0.027,0.006,-0.009,-0.015,-0.008,0.003,-0.033,0.014,-0.022,-0.011,-0.001,-0.002,,,,,,,,,,,,,,,,,,,,,,
tapesmallrad2.m4a,Tape With Small Rad,80g,5,2.4cm,1.56E-04,Wood Bench,-0.004925925926,0.02240866235,28,0.004234839127,-0.006,0.047,0.02,-0.026,-0.037,0.04,-0.011,-0.051,0.032,-0.012,-0.012,-0.009,0.011,-0.023,-0.007,-0.003,-0.013,0.008,-0.022,-0.001,-0.008,-0.018,0.003,0.005,-0.035,0.008,-0.013,,,,,,,,,,,,,,,
tapebigrad2.m4a,Tape big radius,140g,6,2.4cm,0.0003504375,Wood Bench,-0.008433333333,0.01991825247,31,0.003577423751,-0.051,0.019,-0.067,0.02,-0.02,0.011,-0.029,0.022,-0.015,-0.016,0.003,-0.013,0.004,-0.013,0.005,-0.017,-0.004,0,-0.024,0.014,-0.021,0.002,-0.008,-0.014,0.003,-0.014,-0.016,0.014,-0.025,-0.003,,,,,,,,,,,,
tapebigrad2.m4a,Tape big radius,140g,6,2.4cm,0.0003504375,Wood Bench,-0.007814814815,0.01213081593,28,0.002292508725,-0.018,-0.035,-0.01,-0.008,-0.003,-0.004,-0.016,0.003,-0.005,-0.007,-0.019,0.019,-0.026,0.008,-0.024,0.011,-0.015,0.002,-0.01,-0.003,-0.012,-0.004,-0.009,-0.005,0.003,-0.025,0.001,,,,,,,,,,,,,,,
